PK,event_timestamp,INDE,IDADE,IAA,IEG,IPS,IPP,IDA,IPV,DEFASAGEM
RA-15702024,2026-03-06 11:33:59.499006+00:00,7.894084175,16,9.6,7.5,7.5,7.8,8.3,8.7,1.0
RA-15712024,2026-03-06 11:33:59.499006+00:00,7.248455556,16,8.3,9.1,5.0,7.5,5.7,8.5,1.0
RA-15722024,2026-03-06 11:33:59.499006+00:00,8.080345635,15,9.2,9.8,7.5,7.7,7.5,8.4,1.0
RA-11502024,2026-03-06 11:33:59.499006+00:00,7.102321296,17,8.3,6.5,7.5,7.7,6.8,7.9,1.0
RA-15732024,2026-03-06 11:33:59.499006+00:00,6.743847969,16,9.2,6.1,6.3,7.7,5.0,8.6,1.0
RA-15742024,2026-03-06 11:33:59.499006+00:00,7.77724418,16,8.8,8.4,7.5,7.8,7.3,8.6,1.0
RA-15752024,2026-03-06 11:33:59.499006+00:00,7.318459391,16,9.2,8.6,6.9,7.7,5.3,8.3,1.0
RA-10812024,2026-03-06 11:33:59.499006+00:00,8.545295238,15,6.7,9.5,5.0,9.2,8.8,9.0,0.0
RA-3422024,2026-03-06 11:33:59.499006+00:00,6.757026587,16,8.8,7.7,6.3,7.7,4.5,7.7,1.0
RA-15762024,2026-03-06 11:33:59.499006+00:00,7.463620238,16,8.3,9.5,5.6,6.4,6.7,8.4,1.0
RA-1872024,2026-03-06 11:33:59.499006+00:00,8.568424074,14,8.8,9.5,5.6,8.4,7.8,9.1,0.0
RA-15772024,2026-03-06 11:33:59.499006+00:00,6.305585582,16,10.0,5.0,7.5,7.3,4.3,7.3,1.0
RA-2362024,2026-03-06 11:33:59.499006+00:00,6.98083374,14,9.2,7.9,6.3,6.9,4.5,6.4,0.0
RA-2492024,2026-03-06 11:33:59.499006+00:00,6.125104329,16,7.1,6.6,5.0,6.8,5.0,7.1,1.0
RA-3822024,2026-03-06 11:33:59.499006+00:00,5.805712281,16,9.2,6.3,5.6,6.8,3.0,6.4,1.0
RA-11552024,2026-03-06 11:33:59.499006+00:00,7.119011111,15,8.3,8.9,5.0,8.0,4.7,8.9,1.0
RA-3842024,2026-03-06 11:33:59.499006+00:00,8.072200721,14,7.5,8.6,7.5,7.6,7.5,7.9,0.0
RA-3882024,2026-03-06 11:33:59.499006+00:00,5.965307936,16,7.5,6.3,7.5,6.8,4.3,5.8,1.0
RA-2602024,2026-03-06 11:33:59.499006+00:00,8.448920635,15,8.8,9.7,7.5,7.9,7.0,8.5,0.0
RA-2622024,2026-03-06 11:33:59.499006+00:00,5.806145462,17,7.9,4.9,7.5,7.0,4.2,6.3,1.0
RA-15792024,2026-03-06 11:33:59.499006+00:00,7.894385711,16,8.8,9.1,5.6,8.5,7.2,9.3,1.0
RA-15802024,2026-03-06 11:33:59.499006+00:00,7.790523996,16,8.8,9.0,7.5,7.9,6.2,9.2,1.0
RA-3772024,2026-03-06 11:33:59.499006+00:00,7.480115873,14,9.2,7.7,7.5,7.1,5.2,7.6,0.0
