PK,event_timestamp,INDE,IDADE,IAA,IEG,IPS,IPP,IDA,IPV,DEFASAGEM
RA-16282024,2026-03-06 11:33:59.499006+00:00,7.500131369,16,8.3,8.5,7.5,6.9,5.8,6.8,0.0
RA-1122024,2026-03-06 11:33:59.499006+00:00,8.052609921,17,7.1,8.0,7.5,8.0,8.0,8.0,0.0
RA-16292024,2026-03-06 11:33:59.499006+00:00,7.560550529,17,9.6,8.6,7.5,7.2,7.3,7.3,1.0
RA-912024,2026-03-06 11:33:59.499006+00:00,7.426704762,18,10.0,7.5,5.6,7.9,7.3,8.1,1.0
RA-1672024,2026-03-06 11:33:59.499006+00:00,8.033470175,18,8.8,9.5,6.3,8.4,8.2,8.3,1.0
RA-12032024,2026-03-06 11:33:59.499006+00:00,8.949524561,17,9.2,9.6,7.5,8.4,9.0,8.6,0.0
RA-942024,2026-03-06 11:33:59.499006+00:00,8.637033333,17,10.0,9.7,6.3,8.4,8.0,8.2,0.0
RA-812024,2026-03-06 11:33:59.499006+00:00,8.256566667,16,9.2,9.3,6.3,7.9,7.5,7.8,0.0
RA-16302024,2026-03-06 11:33:59.499006+00:00,8.583133333,16,8.3,9.8,7.5,8.3,7.3,8.7,0.0
RA-1712024,2026-03-06 11:33:59.499006+00:00,7.328933333,18,7.5,7.8,5.6,7.6,8.3,7.6,1.0
RA-12202024,2026-03-06 11:33:59.499006+00:00,7.143244444,18,7.1,8.6,6.9,7.5,7.7,6.3,1.0
RA-16312024,2026-03-06 11:33:59.499006+00:00,8.186433333,17,9.6,10.0,7.5,8.5,7.2,8.5,1.0
RA-16322024,2026-03-06 11:33:59.499006+00:00,8.389333333,16,9.2,10.0,7.5,7.8,6.7,8.1,0.0
RA-12102024,2026-03-06 11:33:59.499006+00:00,8.2302,17,9.6,10.0,7.5,7.9,5.5,8.2,0.0
RA-1752024,2026-03-06 11:33:59.499006+00:00,8.024136842,17,10.0,9.5,6.3,7.5,8.5,7.8,1.0
RA-802024,2026-03-06 11:33:59.499006+00:00,8.131659176,18,8.8,7.9,8.1,8.8,7.0,7.9,0.0
RA-402024,2026-03-06 11:33:59.499006+00:00,7.098051462,18,7.1,7.2,8.1,8.1,5.3,6.3,0.0
RA-12142024,2026-03-06 11:33:59.499006+00:00,8.590297136,17,10.0,9.1,8.1,8.3,8.0,7.7,0.0
RA-922024,2026-03-06 11:33:59.499006+00:00,8.052279017,18,10.0,8.8,7.5,7.8,7.5,6.3,0.0
RA-452024,2026-03-06 11:33:59.499006+00:00,8.74347619,17,7.5,9.6,9.4,8.8,8.0,8.3,0.0
RA-562024,2026-03-06 11:33:59.499006+00:00,9.077020175,17,10.0,9.3,10.0,8.4,7.7,9.2,0.0
RA-572024,2026-03-06 11:33:59.499006+00:00,7.41938043,18,9.6,6.0,6.9,8.6,6.2,7.4,0.0
RA-582024,2026-03-06 11:33:59.499006+00:00,8.771328947,17,9.6,9.8,7.5,9.1,7.3,8.6,0.0
RA-782024,2026-03-06 11:33:59.499006+00:00,8.178030869,19,8.8,8.0,8.8,8.4,7.5,7.4,0.0
RA-642024,2026-03-06 11:33:59.499006+00:00,8.743607059,18,10.0,9.0,8.1,8.4,8.2,8.3,0.0
RA-482024,2026-03-06 11:33:59.499006+00:00,8.402390372,17,7.9,8.3,9.4,8.6,7.5,8.2,0.0
RA-12302024,2026-03-06 11:33:59.499006+00:00,4.7612,17,7.9,0.0,7.2,7.5,0.0,7.5,0.0
RA-12262024,2026-03-06 11:33:59.499006+00:00,7.785233333,17,8.3,9.0,6.9,7.5,6.1,7.5,0.0
RA-12272024,2026-03-06 11:33:59.499006+00:00,4.8446,17,8.8,0.0,7.2,7.5,0.0,7.5,0.0
RA-12282024,2026-03-06 11:33:59.499006+00:00,4.8761,18,8.8,0.0,7.5,7.5,0.0,7.5,0.0
RA-12292024,2026-03-06 11:33:59.499006+00:00,4.8238,17,9.2,0.0,6.6,7.5,0.0,7.5,0.0
RA-862024,2026-03-06 11:33:59.499006+00:00,7.611233333,18,6.7,9.7,6.6,7.5,5.5,7.5,0.0
